id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110170,dc32f1d2,2023/03/24 10:26:51,1,75909e89bletest0,null,-71,2,,1679624840000
110427,dc32f1d2,2023/03/24 10:28:18,1,75909e89bletest0,null,-67,2,,1679624935000
110430,dc32f1d2,2023/03/24 10:27:35,1,75909e89bletest0,null,-67,2,,1679624935000
110659,dc32f1d2,2023/03/24 10:29:45,1,75909e89bletest0,null,-75,2,,1679625020000
110660,dc32f1d2,2023/03/24 10:29:06,1,75909e89bletest0,null,-70,2,,1679625020000
110852,dc32f1d2,2023/03/24 10:31:10,1,75909e89bletest0,null,-66,2,,1679625108000
110853,dc32f1d2,2023/03/24 10:31:11,1,75909e89bletest0,null,-62,1,,1679625108000
110854,dc32f1d2,2023/03/24 10:30:33,1,75909e89bletest0,null,-74,2,,1679625109000
110855,dc32f1d2,2023/03/24 10:30:34,1,75909e89bletest0,null,-71,2,,1679625109000
111204,dc32f1d2,2023/03/24 10:32:42,1,75909e89bletest0,null,-56,1,,1679625199000
111205,dc32f1d2,2023/03/24 10:32:43,1,75909e89bletest0,null,-55,1,,1679625199000
111206,dc32f1d2,2023/03/24 10:32:44,1,75909e89bletest0,null,-54,1,,1679625199000
111212,dc32f1d2,2023/03/24 10:32:01,1,75909e89bletest0,null,-64,1,,1679625199000
111213,dc32f1d2,2023/03/24 10:32:03,1,75909e89bletest0,null,-78,3,,1679625199000
111214,dc32f1d2,2023/03/24 10:32:04,1,75909e89bletest0,null,-60,1,,1679625199000
111215,dc32f1d2,2023/03/24 10:32:06,1,75909e89bletest0,null,-55,1,,1679625199000
111453,dc32f1d2,2023/03/24 10:34:56,1,75909e89bletest0,null,-43,1,,1679625367000
111455,dc32f1d2,2023/03/24 10:34:57,1,75909e89bletest0,null,-49,1,,1679625367000
111457,dc32f1d2,2023/03/24 10:34:58,1,75909e89bletest0,null,-46,1,,1679625367000
111936,dc32f1d2,2023/03/24 10:40:03,1,75909e89bletest0,null,-76,3,,1679625642000
111940,dc32f1d2,2023/03/24 10:40:05,1,75909e89bletest0,null,-86,5,,1679625642000
111944,dc32f1d2,2023/03/24 10:40:06,1,75909e89bletest0,null,-75,2,,1679625642000
111948,dc32f1d2,2023/03/24 10:40:07,1,75909e89bletest0,null,-74,2,,1679625642000
111951,dc32f1d2,2023/03/24 10:40:09,1,75909e89bletest0,null,-81,3,,1679625642000
111953,dc32f1d2,2023/03/24 10:40:10,1,75909e89bletest0,null,-78,3,,1679625642000
