id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77911,75909e89,2023/02/21 12:16:39,1,164732b9bletest0,null,-61,1,,1676953090000
77919,75909e89,2023/02/21 12:16:42,1,164732b9bletest0,null,-57,1,,1676953090000
77922,75909e89,2023/02/21 12:16:43,1,164732b9bletest0,null,-57,1,,1676953090000
78850,75909e89,2023/02/21 12:20:59,1,164732b9bletest0,null,-65.5,2,,1676953297000
78866,75909e89,2023/02/21 12:21:02,1,164732b9bletest0,null,-52,1,,1676953297000
79280,75909e89,2023/02/21 12:21:57,1,164732b9bletest0,null,-66,2,,1676953396000
79295,75909e89,2023/02/21 12:22:32,1,164732b9bletest0,null,-67,2,,1676953396000
79300,75909e89,2023/02/21 12:22:33,1,164732b9bletest0,null,-63,1,,1676953396000
79306,75909e89,2023/02/21 12:22:35,1,164732b9bletest0,null,-67,2,,1676953396000
79309,75909e89,2023/02/21 12:22:36,1,164732b9bletest0,null,-63,1,,1676953396000
79312,75909e89,2023/02/21 12:22:37,1,164732b9bletest0,null,-59,1,,1676953396000
79318,75909e89,2023/02/21 12:22:39,1,164732b9bletest0,null,-59,1,,1676953396000
79322,75909e89,2023/02/21 12:22:40,1,164732b9bletest0,null,-63,1,,1676953396000
79327,75909e89,2023/02/21 12:22:42,1,164732b9bletest0,null,-59,1,,1676953396000
79329,75909e89,2023/02/21 12:22:43,1,164732b9bletest0,null,-65,1,,1676953396000
79333,75909e89,2023/02/21 12:22:44,1,164732b9bletest0,null,-62,1,,1676953396000
79340,75909e89,2023/02/21 12:22:47,1,164732b9bletest0,null,-64,1,,1676953396000
79720,75909e89,2023/02/21 12:23:29,1,164732b9bletest0,null,-54,1,,1676953494000
79725,75909e89,2023/02/21 12:23:31,1,164732b9bletest0,null,-49,1,,1676953494000
79729,75909e89,2023/02/21 12:24:04,1,164732b9bletest0,null,-56,1,,1676953494000
79732,75909e89,2023/02/21 12:24:05,1,164732b9bletest0,null,-62,1,,1676953494000
79736,75909e89,2023/02/21 12:24:06,1,164732b9bletest0,null,-53,1,,1676953494000
79742,75909e89,2023/02/21 12:24:07,1,164732b9bletest0,null,-56.5,1,,1676953494000
79749,75909e89,2023/02/21 12:24:09,1,164732b9bletest0,null,-61,1,,1676953494000
79752,75909e89,2023/02/21 12:24:10,1,164732b9bletest0,null,-59,1,,1676953494000
81100,75909e89,2023/02/21 12:29:59,1,164732b9bletest0,null,-65,1,,1676953839000
81107,75909e89,2023/02/21 12:30:02,1,164732b9bletest0,null,-70,2,,1676953839000
81109,75909e89,2023/02/21 12:30:03,1,164732b9bletest0,null,-63,1,,1676953839000
81112,75909e89,2023/02/21 12:30:05,1,164732b9bletest0,null,-65,1,,1676953839000
81115,75909e89,2023/02/21 12:30:06,1,164732b9bletest0,null,-62,1,,1676953839000
85867,75909e89,2023/02/21 13:06:45,1,164732b9bletest0,null,-61,1,,1676956052000
85870,75909e89,2023/02/21 13:06:46,1,164732b9bletest0,null,-60,1,,1676956052000
